> Air Mass 1.5 spectrum "Direct + Circumsolar" (DCS), "edition 2"
> Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation 
> on surface with surface normal tracking (pointing to) the sun, 
> excluding scattered sky and reflected ground radiation
> Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view 
> centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk  
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5DCS ed.2 spectrum (summing the data in the second column) is 900.17492878 W/m2
> lambda (nm)	P(W/m2)
352.5	1.547700E-01
353.0	1.648750E-01
353.5	1.817550E-01
354.0	1.926150E-01
354.5	1.952150E-01
355.0	1.957000E-01
355.5	1.893900E-01
356.0	1.781350E-01
356.5	1.674750E-01
357.0	1.476350E-01
357.5	1.497500E-01
358.0	1.396800E-01
358.5	1.299900E-01
359.0	1.532500E-01
359.5	1.850650E-01
360.0	1.962000E-01
360.5	1.858350E-01
361.0	1.713900E-01
361.5	1.682350E-01
362.0	1.767500E-01
362.5	1.940200E-01
363.0	2.000250E-01
363.5	1.949700E-01
364.0	2.023600E-01
364.5	2.008950E-01
365.0	2.090500E-01
365.5	2.305500E-01
366.0	2.475400E-01
366.5	2.484700E-01
367.0	2.443450E-01
367.5	2.402050E-01
368.0	2.265950E-01
368.5	2.255300E-01
369.0	2.362200E-01
369.5	2.542800E-01
370.0	2.583300E-01
370.5	2.339900E-01
371.0	2.381400E-01
371.5	2.479350E-01
372.0	2.325300E-01
372.5	2.219450E-01
373.0	2.141650E-01
373.5	1.934100E-01
374.0	1.932550E-01
374.5	1.921750E-01
375.0	2.054350E-01
375.5	2.275700E-01
376.0	2.360900E-01
376.5	2.326900E-01
377.0	2.500700E-01
377.5	2.794500E-01
378.0	3.015700E-01
378.5	2.944600E-01
379.0	2.630800E-01
379.5	2.362750E-01
380.0	2.487550E-01
380.5	2.669800E-01
381.0	2.721200E-01
381.5	2.456750E-01
382.0	2.097900E-01
382.5	1.818050E-01
383.0	1.632400E-01
383.5	1.582900E-01
384.0	1.834450E-01
384.5	2.211950E-01
385.0	2.431900E-01
385.5	2.327450E-01
386.0	2.249200E-01
386.5	2.342400E-01
387.0	2.367150E-01
387.5	2.336550E-01
388.0	2.317500E-01
388.5	2.304800E-01
389.0	2.506050E-01
389.5	2.781850E-01
390.0	2.922850E-01
390.5	2.951900E-01
391.0	3.131700E-01
391.5	3.180850E-01
392.0	2.932800E-01
392.5	2.448050E-01
393.0	1.775100E-01
393.5	1.413600E-01
394.0	1.839000E-01
394.5	2.540550E-01
395.0	3.004800E-01
395.5	3.205050E-01
396.0	2.822150E-01
396.5	2.055050E-01
397.0	1.594100E-01
397.5	2.357550E-01
398.0	3.197200E-01
398.5	3.781100E-01
399.0	4.020400E-01
399.5	4.149000E-01
400.0	6.299175E-01
401.0	8.769100E-01
402.0	9.138700E-01
403.0	8.821100E-01
404.0	8.984900E-01
405.0	8.784900E-01
406.0	8.587800E-01
407.0	8.454500E-01
408.0	8.848800E-01
409.0	9.471700E-01
410.0	8.091000E-01
411.0	9.077000E-01
412.0	9.668600E-01
413.0	9.295100E-01
414.0	9.213400E-01
415.0	9.556900E-01
416.0	9.862800E-01
417.0	9.639200E-01
418.0	9.239200E-01
419.0	9.635400E-01
420.0	8.846700E-01
421.0	1.006700E+00
422.0	9.949900E-01
423.0	9.653100E-01
424.0	9.618200E-01
425.0	9.931200E-01
426.0	9.666700E-01
427.0	9.355000E-01
428.0	9.462500E-01
429.0	8.776600E-01
430.0	7.013400E-01
431.0	6.377900E-01
432.0	1.062800E+00
433.0	9.905000E-01
434.0	9.165300E-01
435.0	1.007000E+00
436.0	1.106100E+00
437.0	1.130600E+00
438.0	9.936800E-01
439.0	9.575300E-01
440.0	1.099300E+00
441.0	1.085900E+00
442.0	1.164000E+00
443.0	1.182300E+00
444.0	1.153700E+00
445.0	1.199200E+00
446.0	1.076600E+00
447.0	1.225700E+00
448.0	1.242200E+00
449.0	1.240900E+00
450.0	1.288100E+00
451.0	1.337600E+00
452.0	1.282200E+00
453.0	1.185400E+00
454.0	1.273000E+00
455.0	1.265500E+00
456.0	1.308800E+00
457.0	1.321300E+00
458.0	1.294600E+00
459.0	1.285900E+00
460.0	1.279100E+00
461.0	1.325500E+00
462.0	1.339200E+00
463.0	1.345200E+00
464.0	1.305500E+00
465.0	1.290500E+00
466.0	1.319000E+00
467.0	1.261600E+00
468.0	1.317800E+00
469.0	1.324700E+00
470.0	1.274900E+00
471.0	1.297500E+00
472.0	1.366100E+00
473.0	1.314400E+00
474.0	1.330400E+00
475.0	1.375500E+00
476.0	1.329900E+00
477.0	1.339200E+00
478.0	1.383900E+00
479.0	1.358600E+00
480.0	1.382500E+00
481.0	1.383600E+00
482.0	1.389900E+00
483.0	1.374200E+00
484.0	1.349200E+00
485.0	1.345700E+00
486.0	1.091800E+00
487.0	1.223500E+00
488.0	1.325200E+00
489.0	1.249200E+00
490.0	1.396800E+00
491.0	1.343500E+00
492.0	1.281800E+00
493.0	1.371900E+00
494.0	1.340200E+00
495.0	1.423800E+00
496.0	1.354800E+00
497.0	1.378800E+00
498.0	1.342100E+00
499.0	1.342900E+00
500.0	1.339100E+00
501.0	1.299000E+00
502.0	1.299100E+00
503.0	1.359700E+00
504.0	1.268200E+00
505.0	1.359800E+00
506.0	1.415300E+00
507.0	1.354800E+00
508.0	1.321000E+00
509.0	1.385000E+00
510.0	1.349700E+00
511.0	1.375300E+00
512.0	1.412500E+00
513.0	1.327700E+00
514.0	1.300300E+00
515.0	1.338500E+00
516.0	1.351400E+00
517.0	1.101700E+00
518.0	1.260500E+00
519.0	1.222200E+00
520.0	1.334900E+00
521.0	1.345200E+00
522.0	1.376000E+00
523.0	1.297600E+00
524.0	1.396200E+00
525.0	1.385900E+00
526.0	1.347900E+00
527.0	1.179500E+00
528.0	1.350800E+00
529.0	1.414200E+00
530.0	1.359800E+00
531.0	1.434800E+00
532.0	1.409400E+00
533.0	1.259000E+00
534.0	1.349100E+00
535.0	1.370100E+00
536.0	1.429200E+00
537.0	1.322900E+00
538.0	1.389600E+00
539.0	1.355800E+00
540.0	1.309600E+00
541.0	1.259500E+00
542.0	1.371400E+00
543.0	1.349300E+00
544.0	1.397100E+00
545.0	1.365700E+00
546.0	1.353600E+00
547.0	1.371700E+00
548.0	1.333100E+00
549.0	1.375200E+00
550.0	1.364800E+00
551.0	1.363900E+00
552.0	1.392300E+00
553.0	1.353300E+00
554.0	1.380200E+00
555.0	1.388300E+00
556.0	1.365100E+00
557.0	1.332100E+00
558.0	1.361300E+00
559.0	1.288500E+00
560.0	1.311800E+00
561.0	1.388500E+00
562.0	1.322500E+00
563.0	1.373100E+00
564.0	1.346600E+00
565.0	1.355500E+00
566.0	1.282300E+00
567.0	1.367300E+00
568.0	1.355400E+00
569.0	1.322800E+00
570.0	1.324000E+00
571.0	1.281000E+00
572.0	1.353400E+00
573.0	1.359500E+00
574.0	1.352700E+00
575.0	1.322500E+00
576.0	1.311800E+00
577.0	1.345200E+00
578.0	1.304000E+00
579.0	1.323000E+00
580.0	1.345500E+00
581.0	1.351800E+00
582.0	1.372900E+00
583.0	1.387200E+00
584.0	1.384500E+00
585.0	1.373700E+00
586.0	1.340900E+00
587.0	1.370800E+00
588.0	1.340300E+00
589.0	1.158200E+00
590.0	1.231600E+00
591.0	1.317100E+00
592.0	1.290000E+00
593.0	1.308600E+00
594.0	1.302900E+00
595.0	1.287000E+00
596.0	1.326000E+00
597.0	1.330300E+00
598.0	1.314200E+00
599.0	1.314500E+00
600.0	1.327800E+00
601.0	1.312300E+00
602.0	1.292800E+00
603.0	1.320500E+00
604.0	1.343900E+00
605.0	1.341800E+00
606.0	1.335300E+00
607.0	1.343400E+00
608.0	1.339200E+00
609.0	1.329200E+00
610.0	1.323700E+00
611.0	1.317000E+00
612.0	1.337000E+00
613.0	1.318200E+00
614.0	1.278300E+00
615.0	1.325400E+00
616.0	1.290600E+00
617.0	1.274400E+00
618.0	1.322800E+00
619.0	1.329200E+00
620.0	1.329900E+00
621.0	1.335900E+00
622.0	1.288200E+00
623.0	1.279300E+00
624.0	1.275100E+00
625.0	1.266700E+00
626.0	1.265500E+00
627.0	1.302200E+00
628.0	1.232800E+00
629.0	1.275800E+00
630.0	1.258900E+00
631.0	1.279900E+00
632.0	1.232700E+00
633.0	1.311000E+00
634.0	1.290700E+00
635.0	1.306500E+00
636.0	1.276800E+00
637.0	1.320400E+00
638.0	1.329200E+00
639.0	1.323800E+00
640.0	1.296200E+00
641.0	1.297000E+00
642.0	1.299500E+00
643.0	1.313000E+00
644.0	1.307400E+00
645.0	1.317000E+00
646.0	1.279700E+00
647.0	1.274400E+00
648.0	1.262500E+00
649.0	1.223400E+00
650.0	1.229900E+00
651.0	1.307100E+00
652.0	1.255800E+00
653.0	1.295000E+00
654.0	1.280700E+00
655.0	1.222000E+00
656.0	1.072700E+00
657.0	1.121800E+00
658.0	1.254000E+00
659.0	1.258600E+00
660.0	1.266800E+00
661.0	1.261800E+00
662.0	1.251800E+00
663.0	1.253900E+00
664.0	1.264700E+00
665.0	1.287100E+00
666.0	1.286000E+00
667.0	1.276700E+00
668.0	1.281000E+00
669.0	1.303200E+00
670.0	1.285300E+00
671.0	1.282900E+00
672.0	1.265100E+00
673.0	1.276000E+00
674.0	1.274200E+00
675.0	1.263900E+00
676.0	1.278600E+00
677.0	1.266900E+00
678.0	1.273700E+00
679.0	1.262900E+00
680.0	1.265000E+00
681.0	1.260100E+00
682.0	1.266200E+00
683.0	1.252600E+00
684.0	1.244500E+00
685.0	1.245400E+00
686.0	1.217400E+00
687.0	8.828500E-01
688.0	1.019500E+00
689.0	1.026000E+00
690.0	1.074600E+00
691.0	1.120100E+00
692.0	1.151600E+00
693.0	1.144600E+00
694.0	1.131800E+00
695.0	1.153800E+00
696.0	1.151300E+00
697.0	1.215100E+00
698.0	1.196100E+00
699.0	1.172100E+00
700.0	1.163600E+00
701.0	1.148900E+00
702.0	1.150000E+00
703.0	1.156700E+00
704.0	1.186400E+00
705.0	1.198900E+00
706.0	1.192500E+00
707.0	1.187500E+00
708.0	1.183900E+00
709.0	1.188000E+00
710.0	1.195400E+00
711.0	1.193400E+00
712.0	1.185600E+00
713.0	1.171900E+00
714.0	1.182300E+00
715.0	1.142800E+00
716.0	1.154800E+00
717.0	1.008100E+00
718.0	9.387300E-01
719.0	8.427400E-01
720.0	8.994000E-01
721.0	9.896700E-01
722.0	1.128100E+00
723.0	1.042300E+00
724.0	9.630500E-01
725.0	9.474100E-01
726.0	9.863800E-01
727.0	9.898800E-01
728.0	9.496800E-01
729.0	9.550300E-01
730.0	1.029400E+00
731.0	9.770200E-01
732.0	1.052000E+00
733.0	1.090100E+00
734.0	1.126100E+00
735.0	1.110100E+00
736.0	1.099400E+00
737.0	1.097800E+00
738.0	1.118400E+00
739.0	1.085500E+00
740.0	1.111900E+00
741.0	1.107800E+00
742.0	1.108400E+00
743.0	1.131600E+00
744.0	1.140800E+00
745.0	1.140400E+00
746.0	1.138100E+00
747.0	1.138900E+00
748.0	1.132300E+00
749.0	1.128600E+00
750.0	1.127300E+00
751.0	1.122400E+00
752.0	1.126500E+00
753.0	1.121000E+00
754.0	1.135300E+00
755.0	1.132100E+00
756.0	1.118500E+00
757.0	1.117600E+00
758.0	1.124600E+00
759.0	1.093200E+00
760.0	2.471600E-01
761.0	1.432800E-01
762.0	6.349100E-01
763.0	3.521700E-01
764.0	4.988500E-01
765.0	6.337700E-01
766.0	7.508000E-01
767.0	8.957400E-01
768.0	1.022200E+00
769.0	1.034700E+00
770.0	1.064600E+00
771.0	1.071600E+00
772.0	1.080200E+00
773.0	1.079700E+00
774.0	1.080000E+00
775.0	1.080100E+00
776.0	1.082700E+00
777.0	1.076400E+00
778.0	1.075400E+00
779.0	1.080300E+00
780.0	1.068700E+00
781.0	1.066200E+00
782.0	1.071400E+00
783.0	1.067200E+00
784.0	1.060200E+00
785.0	1.064900E+00
786.0	1.065600E+00
787.0	1.053000E+00
788.0	1.039900E+00
789.0	1.035900E+00
790.0	1.004500E+00
791.0	1.017900E+00
792.0	1.008400E+00
793.0	1.001500E+00
794.0	1.010100E+00
795.0	1.006600E+00
796.0	9.898500E-01
797.0	1.005700E+00
798.0	1.024500E+00
799.0	1.004800E+00
800.0	9.885900E-01
801.0	9.997800E-01
802.0	1.001100E+00
803.0	9.828800E-01
804.0	9.945200E-01
805.0	9.727000E-01
806.0	1.012200E+00
807.0	1.001800E+00
808.0	9.984400E-01
809.0	9.735300E-01
810.0	9.748800E-01
811.0	9.727300E-01
812.0	9.488200E-01
813.0	9.323600E-01
814.0	8.368100E-01
815.0	8.292700E-01
816.0	7.717100E-01
817.0	7.898400E-01
818.0	7.629900E-01
819.0	8.384400E-01
820.0	7.989900E-01
821.0	9.229200E-01
822.0	8.808100E-01
823.0	6.257600E-01
824.0	8.661900E-01
825.0	8.975200E-01
826.0	8.653000E-01
827.0	9.117800E-01
828.0	7.887000E-01
829.0	8.613500E-01
830.0	8.493000E-01
831.0	8.566600E-01
832.0	8.296100E-01
833.0	8.862200E-01
834.0	8.660800E-01
835.0	9.291700E-01
836.0	9.013500E-01
837.0	9.349300E-01
838.0	9.258500E-01
839.0	9.278300E-01
840.0	9.412400E-01
841.0	9.362600E-01
842.0	9.241100E-01
843.0	9.317100E-01
844.0	9.143400E-01
845.0	9.422600E-01
846.0	9.444700E-01
847.0	9.194700E-01
848.0	9.201000E-01
849.0	9.144700E-01
850.0	8.290000E-01
851.0	9.045400E-01
852.0	8.994200E-01
853.0	8.954000E-01
854.0	7.900000E-01
855.0	8.474600E-01
856.0	9.034300E-01
857.0	9.205900E-01
858.0	9.209400E-01
859.0	9.208100E-01
860.0	9.176400E-01
861.0	9.164800E-01
862.0	9.236700E-01
863.0	9.293400E-01
864.0	9.095600E-01
865.0	8.948700E-01
866.0	7.888200E-01
867.0	8.506600E-01
868.0	8.914000E-01
869.0	8.825200E-01
870.0	8.993300E-01
871.0	8.867100E-01
872.0	8.988700E-01
873.0	8.899900E-01
874.0	8.745100E-01
875.0	8.620400E-01
876.0	8.862500E-01
877.0	8.894800E-01
878.0	8.860700E-01
879.0	8.714400E-01
880.0	8.743400E-01
881.0	8.456300E-01
882.0	8.678700E-01
883.0	8.649400E-01
884.0	8.685900E-01
885.0	8.791300E-01
886.0	8.451500E-01
887.0	8.479900E-01
888.0	8.589900E-01
889.0	8.704100E-01
890.0	8.607800E-01
891.0	8.625500E-01
892.0	8.468800E-01
893.0	8.141200E-01
894.0	7.941300E-01
895.0	7.595600E-01
896.0	7.126500E-01
897.0	6.231000E-01
898.0	6.713700E-01
899.0	5.146100E-01
900.0	6.942900E-01
901.0	5.616200E-01
902.0	6.250000E-01
903.0	6.448300E-01
904.0	7.886200E-01
905.0	7.633700E-01
906.0	7.250200E-01
907.0	5.983300E-01
908.0	6.109100E-01
909.0	6.591200E-01
910.0	5.855300E-01
911.0	6.258000E-01
912.0	6.450800E-01
913.0	5.890600E-01
914.0	5.874000E-01
915.0	6.355000E-01
916.0	5.409900E-01
917.0	6.835000E-01
918.0	5.561200E-01
919.0	6.916100E-01
920.0	6.965700E-01
921.0	7.300400E-01
922.0	6.558400E-01
923.0	6.969800E-01
924.0	6.757100E-01
925.0	6.662100E-01
926.0	6.587500E-01
927.0	7.368400E-01
928.0	5.536300E-01
929.0	5.179200E-01
930.0	4.067900E-01
931.0	3.854000E-01
932.0	2.838600E-01
933.0	2.345900E-01
934.0	1.360400E-01
935.0	2.369000E-01
936.0	1.526700E-01
937.0	1.545300E-01
938.0	1.896200E-01
939.0	3.759100E-01
940.0	4.441100E-01
941.0	3.507100E-01
942.0	3.819200E-01
943.0	2.628900E-01
944.0	2.698700E-01
945.0	3.472900E-01
946.0	1.840900E-01
947.0	3.501000E-01
948.0	2.591100E-01
949.0	4.651400E-01
950.0	1.394400E-01
951.0	4.556300E-01
952.0	2.541800E-01
953.0	3.244200E-01
954.0	3.998800E-01
955.0	3.220400E-01
956.0	3.099600E-01
957.0	2.559100E-01
958.0	4.345300E-01
959.0	3.529400E-01
960.0	3.968500E-01
961.0	4.348100E-01
962.0	4.166400E-01
963.0	4.758500E-01
964.0	4.324200E-01
965.0	4.746900E-01
966.0	4.737700E-01
967.0	4.735300E-01
968.0	6.130100E-01
969.0	6.448000E-01
970.0	5.968900E-01
971.0	6.705900E-01
972.0	6.462900E-01
973.0	5.708100E-01
974.0	5.417000E-01
975.0	5.553600E-01
976.0	5.387200E-01
977.0	6.008400E-01
978.0	5.790300E-01
979.0	6.004600E-01
980.0	5.694100E-01
981.0	6.705800E-01
982.0	6.510200E-01
983.0	6.291500E-01
984.0	6.929000E-01
985.0	6.473400E-01
986.0	7.055300E-01
987.0	6.948900E-01
988.0	6.905900E-01
989.0	7.039100E-01
990.0	6.884300E-01
991.0	7.083300E-01
992.0	7.059700E-01
993.0	6.932500E-01
994.0	7.089100E-01
995.0	7.067300E-01
996.0	7.040900E-01
997.0	6.955500E-01
998.0	6.948100E-01
999.0	6.945500E-01
1000.0	6.915900E-01
1001.0	7.001300E-01
1002.0	6.849800E-01
1003.0	6.908600E-01
1004.0	6.805600E-01
1005.0	6.414000E-01
1006.0	6.704700E-01
1007.0	6.846300E-01
1008.0	6.840700E-01
1009.0	6.774200E-01
1010.0	6.769500E-01
1011.0	6.803400E-01
1012.0	6.766700E-01
1013.0	6.755600E-01
1014.0	6.784800E-01
1015.0	6.667600E-01
1016.0	6.697600E-01
1017.0	6.623700E-01
1018.0	6.726300E-01
1019.0	6.488000E-01
1020.0	6.583900E-01
1021.0	6.610700E-01
1022.0	6.498000E-01
1023.0	6.549000E-01
1024.0	6.507700E-01
1025.0	6.572700E-01
1026.0	6.562500E-01
1027.0	6.531800E-01
1028.0	6.539800E-01
1029.0	6.468700E-01
1030.0	6.509200E-01
1031.0	6.479900E-01
1032.0	6.485200E-01
1033.0	6.375100E-01
1034.0	6.413600E-01
1035.0	6.434800E-01
1036.0	6.432300E-01
1037.0	6.366400E-01
1038.0	6.336100E-01
1039.0	6.380200E-01
1040.0	6.336600E-01
1041.0	6.337900E-01
1042.0	6.340600E-01
1043.0	6.277300E-01
1044.0	6.306700E-01
1045.0	6.271200E-01
1046.0	6.107800E-01
1047.0	6.200800E-01
1048.0	6.255900E-01
1049.0	6.220600E-01
1050.0	6.180200E-01
1051.0	6.186200E-01
1052.0	6.148700E-01
1053.0	6.130200E-01
1054.0	6.104800E-01
1055.0	6.124200E-01
1056.0	6.105500E-01
1057.0	6.091000E-01
1058.0	6.028600E-01
1059.0	5.845300E-01
1060.0	6.007300E-01
1061.0	5.869400E-01
1062.0	5.978200E-01
1063.0	5.881500E-01
1064.0	5.972200E-01
1065.0	5.946100E-01
1066.0	5.833000E-01
1067.0	5.863700E-01
1068.0	5.856100E-01
1069.0	5.542800E-01
1070.0	5.717800E-01
1071.0	5.830400E-01
1072.0	5.819400E-01
1073.0	5.708600E-01
1074.0	5.878000E-01
1075.0	5.605400E-01
1076.0	5.814100E-01
1077.0	5.717500E-01
1078.0	5.707600E-01
1079.0	5.721000E-01
1080.0	5.651900E-01
1081.0	5.497300E-01
1082.0	5.577300E-01
1083.0	5.660300E-01
1084.0	5.477500E-01
1085.0	5.616300E-01
1086.0	5.249600E-01
1087.0	5.368500E-01
1088.0	5.615900E-01
1089.0	5.485600E-01
1090.0	5.265600E-01
1091.0	5.572200E-01
1092.0	5.504800E-01
1093.0	4.841700E-01
1094.0	5.112000E-01
1095.0	4.936300E-01
1096.0	4.773100E-01
1097.0	5.480500E-01
1098.0	4.770900E-01
1099.0	4.816100E-01
1100.0	4.611300E-01
1101.0	4.716900E-01
1102.0	4.451300E-01
1103.0	4.429100E-01
1104.0	4.441200E-01
1105.0	4.806500E-01
1106.0	3.784000E-01
1107.0	4.586600E-01
1108.0	3.951700E-01
1109.0	3.924900E-01
1110.0	4.549600E-01
1111.0	3.157200E-01
1112.0	3.933000E-01
1113.0	2.559900E-01
1114.0	2.857600E-01
1115.0	2.383300E-01
1116.0	1.922300E-01
1117.0	7.616400E-02
1118.0	2.076300E-01
1119.0	1.082100E-01
1120.0	1.356200E-01
1121.0	1.775300E-01
1122.0	7.815900E-02
1123.0	1.225500E-01
1124.0	1.039700E-01
1125.0	1.379400E-01
1126.0	4.939400E-02
1127.0	1.503200E-01
1128.0	9.494600E-02
1129.0	1.013300E-01
1130.0	6.756800E-02
1131.0	2.820100E-01
1132.0	2.235900E-01
1133.0	1.466100E-01
1134.0	3.998800E-02
1135.0	1.481900E-02
1136.0	1.232000E-01
1137.0	2.747200E-01
1138.0	1.942800E-01
1139.0	2.848400E-01
1140.0	2.444700E-01
1141.0	1.848600E-01
1142.0	2.148100E-01
1143.0	2.975800E-01
1144.0	1.084300E-01
1145.0	1.397600E-01
1146.0	1.508500E-01
1147.0	5.671500E-02
1148.0	2.589800E-01
1149.0	2.089400E-01
1150.0	1.164800E-01
1151.0	1.945300E-01
1152.0	2.366600E-01
1153.0	2.276200E-01
1154.0	1.364300E-01
1155.0	2.990300E-01
1156.0	2.683700E-01
1157.0	3.004000E-01
1158.0	2.977000E-01
1159.0	3.216300E-01
1160.0	2.737100E-01
1161.0	3.316700E-01
1162.0	3.341200E-01
1163.0	4.464400E-01
1164.0	3.833200E-01
1165.0	3.708000E-01
1166.0	3.578100E-01
1167.0	3.910500E-01
1168.0	4.001800E-01
1169.0	4.034800E-01
1170.0	4.373100E-01
1171.0	4.275000E-01
1172.0	4.337000E-01
1173.0	4.352200E-01
1174.0	3.219300E-01
1175.0	4.314200E-01
1176.0	4.544700E-01
1177.0	4.504000E-01
1178.0	3.439100E-01
1179.0	4.611400E-01
1180.0	4.205200E-01
1181.0	4.342300E-01
1182.0	3.090300E-01
1183.0	4.185300E-01
1184.0	4.008300E-01
1185.0	3.890800E-01
1186.0	4.551800E-01
1187.0	4.349400E-01
1188.0	3.203900E-01
1189.0	3.968500E-01
1190.0	4.412400E-01
1191.0	4.263800E-01
1192.0	4.517100E-01
1193.0	4.337000E-01
1194.0	4.475100E-01
1195.0	4.267100E-01
1196.0	4.118800E-01
1197.0	4.552700E-01
1198.0	4.142600E-01
1199.0	3.486900E-01
1200.0	4.278900E-01
1201.0	4.173500E-01
1202.0	4.174300E-01
1203.0	4.144100E-01
1204.0	3.464500E-01
1205.0	4.171400E-01
1206.0	4.587200E-01
1207.0	4.104400E-01
1208.0	4.137900E-01
1209.0	3.954800E-01
1210.0	4.326700E-01
1211.0	4.031900E-01
1212.0	4.057200E-01
1213.0	4.480400E-01
1214.0	4.144300E-01
1215.0	4.085100E-01
1216.0	4.450900E-01
1217.0	4.345700E-01
1218.0	4.384200E-01
1219.0	4.263900E-01
1220.0	4.372400E-01
1221.0	4.441300E-01
1222.0	4.309600E-01
1223.0	4.240000E-01
1224.0	4.278800E-01
1225.0	4.414100E-01
1226.0	4.469600E-01
1227.0	4.136000E-01
